"","X","work_year","experience_level","employment_type","job_title","salary","salary_currency","salary_in_usd","employee_residence","remote_ratio","company_location","company_size","cp_loc","remote"
"1",5,2020,"EN","FT","Data Analyst",72000,"USD",72000,"US",100,"US","L","United States","greater than 80% remote workers"
"2",25,2020,"EX","FT","Director of Data Science",325000,"USD",325000,"US",100,"US","L","United States","greater than 80% remote workers"
"3",40,2020,"MI","FT","Data Scientist",45760,"USD",45760,"PH",100,"US","S","United States","greater than 80% remote workers"
"4",46,2020,"MI","FT","Data Scientist",60000,"GBP",76958,"GB",100,"GB","S","United Kingdom","greater than 80% remote workers"
"5",53,2020,"EN","FT","Data Engineer",48000,"EUR",54742,"PK",100,"DE","L","Germany","greater than 80% remote workers"
"6",60,2020,"MI","FT","Data Engineer",110000,"USD",110000,"US",100,"US","L","United States","greater than 80% remote workers"
"7",82,2021,"MI","FT","Applied Data Scientist",68000,"CAD",54238,"GB",50,"CA","L","Canada","greater than 20% but less than 80% remote workers"
"8",94,2021,"EN","FT","Data Scientist",2200000,"INR",29751,"IN",50,"IN","L","India","greater than 20% but less than 80% remote workers"
"9",100,2021,"MI","FT","Data Analyst",75000,"USD",75000,"US",0,"US","L","United States","less than 20% remote workers"
"10",109,2021,"EN","FT","Data Engineer",2250000,"INR",30428,"IN",100,"IN","L","India","greater than 80% remote workers"
"11",111,2021,"SE","FT","Director of Data Engineering",82500,"GBP",113476,"GB",100,"GB","M","United Kingdom","greater than 80% remote workers"
"12",115,2021,"EN","FT","Machine Learning Scientist",225000,"USD",225000,"US",100,"US","L","United States","greater than 80% remote workers"
"13",125,2021,"MI","FT","Principal Data Scientist",151000,"USD",151000,"US",100,"US","L","United States","greater than 80% remote workers"
"14",129,2021,"SE","FT","Lead Data Scientist",3000000,"INR",40570,"IN",50,"IN","L","India","greater than 20% but less than 80% remote workers"
"15",135,2021,"MI","FT","Data Analyst",90000,"USD",90000,"US",100,"US","M","United States","greater than 80% remote workers"
"16",140,2021,"MI","FT","Data Analyst",135000,"USD",135000,"US",100,"US","L","United States","greater than 80% remote workers"
"17",152,2021,"MI","FT","Data Scientist",95000,"CAD",75774,"CA",100,"CA","L","Canada","greater than 80% remote workers"
"18",163,2021,"EN","FT","Data Science Consultant",54000,"EUR",63831,"DE",50,"DE","L","Germany","greater than 20% but less than 80% remote workers"
"19",165,2021,"SE","FT","Data Specialist",165000,"USD",165000,"US",100,"US","L","United States","greater than 80% remote workers"
"20",170,2021,"MI","FT","Data Architect",170000,"USD",170000,"US",100,"US","L","United States","greater than 80% remote workers"
"21",171,2021,"MI","FT","Data Engineer",60000,"GBP",82528,"GB",100,"GB","L","United Kingdom","greater than 80% remote workers"
"22",175,2021,"SE","FT","Data Engineering Manager",174000,"USD",174000,"US",100,"US","L","United States","greater than 80% remote workers"
